"Site";"Date";"T...C. Mean";"T...C. Se";"Water..cm. Mean";"Water..cm. Se";"Salinity..g.L. Mean";"Salinity..g.L. Se";"pH Mean";"pH Se";"Cd..ppm. Mean";"Cd..ppm. Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Fe..ppm. Mean";"Fe..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"Cu..ppm. Mean";"Cu..ppm. Se";"P..mg.L. Mean";"P..mg.L. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
4;312;12.3;0;9.7;0;42.9666666666667;0.0333333333333338;8.23666666666667;0.00881917103688178;0.625666666666667;0.00517472489875335;0.932333333333333;0.0461892243325697;0.144333333333333;0.00260341655863555;0.0311;0.000115470053837925;0.208333333333333;0.00120185042515466;5.5454;0;114.65412;0.255581417164865
4;342;11;0;13;0;38.3533333333333;0.0517472489875326;8.79333333333333;0.125742240759067;0.735;0.00152752523165195;0.8637;0.00182300118851671;0.110333333333333;0.00120185042515466;0.0213666666666667;6.66666666666663e-05;0.161666666666667;0.00352766841475279;5.51278;0.0188331657809656;108.60416;1.28639825621772
4;35;9;0;50;0;31.0666666666667;0.240370085030932;8.35666666666667;0.0284800124843918;0.576666666666667;0.00881917103688194;0.0614;0.00141067359796659;0.0521666666666667;0.000440958551844099;0.0507333333333333;8.819171036882e-05;0.334;0.003;4.32493333333333;0.0108666666666665;83.3333333333333;0.400871409908353
4;67;11;0;45;0;29.1666666666667;0.504424865014052;8.63;0.0416333199893223;0.032;0.002;0.8606;0.0158774473179203;0.577333333333333;0.0407117236732178;0.0619666666666667;0.000260341655863555;0.433;0.0045092497528229;4.78133333333333;0.0108666666666668;96.6666666666667;1.68720132166151
4;8;3.5;0;25;0;31.13;0.325934553757857;9.08;0.291433239925259;0.626666666666667;0.017638342073764;0.307666666666667;0.0125476868164792;0.0982333333333333;0.00062271805640898;0.4;0;0.454;0.00608276253029822;4.03153333333333;0.0217333333333333;68.78787879;0.400871412428118
4;98;22.5;0;31;0;29.8366666666667;0.199360087390742;9.63;0.0173205080756889;0.4603;0.00431431724996359;0.918;0.0398873413503583;1.51366666666667;0.0116809436452902;0.159266666666667;0.000145296631451356;0.0810666666666667;0.000272845092395752;4.35753333333333;0.0108666666666668;81.06060606;0.546295647881621
5;128;24;0;28;0;31.3333333333333;0.333333333333333;9.71;0.0503322295684718;0.583666666666667;0.0174902194891253;1.26666666666667;0.0328650439085529;2.008;0.00264575131106455;0.168966666666667;0.000145296631451357;0.117333333333333;0.000375647588986153;4.3358;0.0188216187755818;85.75757576;2.23195755570904
5;159;26.3333333333333;0.333333333333333;15;0;35;0;9.15666666666667;0.00333333333333326;0.728;0.0138684293751432;0.940666666666667;0.0324465372232196;0.135366666666667;0.0015059142664102;0.0477666666666667;0.00184149697559108;0.252866666666667;0.000333333333333334;4.54226666666667;0.0108666666666668;95.90909091;4.09090909
5;189;29.6666666666667;0.333333333333333;9;0;41.5533333333333;0.0240370085030931;8.33333333333333;0.0120185042515464;0.707;0.00754983443527076;1.44833333333333;0.00133333333333333;0.337;0.0409511904588865;0.0742666666666667;0.000669161996662825;0.268133333333333;0.006186634338996;5.67588;0.0326199999999999;137.67348;2.94750869148845
5;220;39;0;6.3;0;51.63;0.196723155729061;7.82333333333333;0.156240555270106;0.718666666666667;0.00120185042515466;1.65233333333333;0.00088191710368817;0.196666666666667;0.00545690184791497;0.0570666666666667;0.000260341655863557;0.246;0.00458257569495584;5.98033333333333;0.0108733333333335;135.7552;1.4756
5;251;28.5;0;3;0;57.2066666666667;0.46698798461821;7.18;0.0100000000000001;0.706333333333333;0.0017638342073764;1.16533333333333;0.00384418753155697;0.190333333333333;0.00317979733805649;0.0437666666666667;0.000120185042515465;0.227666666666667;0.00166666666666667;6.0347;0.0326199999999999;134.2796;1.4756
5;294;23;0;6;0;50.0333333333333;0.0333333333333338;8.03;0.00999999999999979;0.648333333333333;0.0074236858171067;1.09;0.00152752523165192;0.173;0.000577350269189626;0.0305333333333333;0.000145296631451356;0.228666666666667;0.00145296631451356;6.06732;0.0863044077669271;118.63824;0.511162834329726
5;312;12;0;10;0;41.2666666666667;0.635959467611297;8.28666666666667;0.00881917103688223;0.657666666666667;0.014379769740082;0.972333333333333;0.00491030662088542;0.142333333333333;0.000333333333333334;0.0318333333333333;8.819171036882e-05;0.216333333333333;0.00260341655863555;5.5454;0;118.49068;1.03292
5;342;11;0;13;0;37.69;0.0953939201416945;8.87333333333333;0.0523874454850058;0.742666666666667;0.00145296631451356;0.837;0.001;0.1101;0;0.0221;0.000115470053837925;0.176333333333333;0.00233333333333334;5.25182;0.179656951252473;104.91516;1.55464106777095
5;35;9;0;65;0;30.7666666666667;0.0881917103688189;8.46666666666667;0.0417665469538058;0.563333333333333;0.0120185042515466;0.0518;0.000264575131106458;0.127;0.00173205080756888;0.0481;0.000264575131106458;0.340666666666667;0.00437162568286799;4.238;0;84.6969696966667;0.921630685686464
5;67;11;0;60;0;29.4333333333333;0.2185812841434;8.79666666666667;0.0448454134902453;0.0121;0.00164620776331543;0.787;0.0161063134619109;0.0963333333333333;0.00296273147243853;0.0529666666666667;0.000935117342607036;0.406333333333333;0.00520683311727109;4.6618;0.0564648563267453;100.151515133333;2.78144843469328
5;8;3.5;0;15;0;31.65;0.200748598998849;8.82333333333333;0.253924748257782;0.636666666666667;0.0133333333333333;0.241333333333333;0.0144029318003122;0.161;0.00115470053837925;0.41;0.00999999999999999;0.446;0.0199248588451713;4.22713333333333;0.0287504975802354;68.93939394;0.546295647881621
5;98;22.5;0;32;0;31.12;0.0305505046330391;9.55333333333333;0.0606446846622011;0.456033333333333;0.000783865067753651;0.821666666666667;0.000666666666666667;1.59233333333333;0.0291680952031115;0.167366666666667;0.000328295260059876;0.0820333333333333;0.000328295260059871;4.11846666666667;0.0108666666666668;97.2727272866667;4.29619603838971
6;128;24.5;0;27;0;29.92;0.0799999999999995;9.59;0.0493288286231624;0.532133333333333;0.00331930380920122;0.92;0.0429224106188519;1.964;0.00642910050732864;0.161;0.000200000000000006;0.1115;0.000450924975282289;4.3358;0.0977999999999997;85.6060606066667;1.70748904122261
6;159;27;0;12;0;30.7966666666667;0.19341952101872;9.10666666666667;0.00333333333333326;0.701666666666667;0.00982061324177083;0.912333333333333;0.0125476868164792;0.103833333333333;0.00526698311285608;0.0372866666666667;0.000318346422069487;0.2511;0.000435889894354068;4.67266666666667;0.0965850460014962;93.9393939366667;0.921630685960458
